"ISO3V10","Country","EPI_regions","Landlock","NoFor","NoEle","GDPCAP","GDPgroup","POP","EPI","EH","EV","eh.eh","ev.water","eh.water","ev.cc","eh.air","ev.air","ev.forest","ev.fish","ev.ag","ev.bh","ACSATINV","CHMORT","INDOOR","PM25","WATSUPINV","AGSUB","AZE","CO2CAP","CO2GDP","CO2KWH","FORCOVINV","FORGROINV","FORLOSS","FSOC","MPAEEZ","PACOV","POPs","RENEW","SO2CAP","SO2GDP","TCEEZ","WATUSEINV","EPI_trend","EH_trend","EV_trend","EH_EH_trend","EV_Water_trend","EH_Water_trend","EV_CC_trend","EH_Air_trend","EV_Air_trend","EV_Forest_trend","EV_Fish_trend","EV_Ag_trend","EV_BH_trend","ACSATINV_trend","CHMORT_trend","INDOOR_trend","PM25_trend","WATSUPINV_trend","AGSUB_trend","AZE_trend","CO2CAP_trend","CO2GDP_trend","CO2KWH_trend","FORLOSS_trend","FORGROINV_trend","FORCOVINV_trend","FSOC_trend","MPAEEZ_trend","PACOV_trend","POPs_trend","RENEW_trend","SO2CAP_trend","SO2GDP_trend","TCEEZ_trend","WATUSEINV_trend"
"COL","Colombia","Latin America and Caribbean",0,0,0,8487.597261,"Middle",46294841,62.33,55.55,65.23,59.16,53.42,39.22,72.75,64.67,61.1,62.24,30.31,46.94,84.43,28.59,59.16,29.34,100,49.86,24.95,58.89,97.39,69.62,22.43,59.95,NA,66.83,13.01,99.12,89.06,90.91,72.84,58.81,63.38,47.6,53.42,8.25,9.8,6.98,15.81,-23.29,5.5,22.18,2.06,13.81,-18.88,12.99,8.95,9.45,4.94,15.81,4.12,0,6.06,8.22,3.62,27.59,30.92,8.36,-16.59,NA,-20.02,-10.07,29.48,0,10.42,2.97,12.79,14.84,36.05,-23.29
"COM","Comoros","Sub-Saharan Africa",0,0,0,983.8008284,"Lower",734750,NA,24.5,NA,29.86,73.95,34.33,NA,3.97,NA,33.33,68.71,66.67,0,9.55,29.86,3.97,NA,59.11,100,0,NA,NA,NA,0,0,100,41.51,0,0,0,NA,NA,NA,95.92,73.95,NA,12.24,NA,16.88,-13.02,15.8,NA,-0.6,NA,-33.33,-21.06,0,0,8.28,16.88,-0.6,NA,23.33,0,0,NA,NA,NA,0,-50,-50,-36.33,0,0,0,NA,NA,NA,-5.79,-13.02
"CPV","Cape Verde","Sub-Saharan Africa",0,1,0,3573.459791,"Middle",495999,NA,46.05,NA,71.78,17.19,25.96,NA,14.68,NA,100,40.21,0,0.06,16.58,71.78,14.68,NA,35.34,NA,0,NA,NA,NA,100,100,NA,20.42,0,14.65,0,NA,NA,NA,60,17.19,NA,26.65,NA,49.87,-41.41,8.04,NA,-1.2,NA,0,-15.63,0,0,12.8,49.87,-1.2,NA,3.29,NA,0,NA,NA,NA,NA,0,0,-30.4,0,0,0,NA,NA,NA,-0.86,-41.41
"CRI","Costa Rica","Latin America and Caribbean",0,0,0,10258.58166,"Middle",4658887,69.03,76.19,65.96,87.57,51.06,64.77,79.02,64.86,60.18,95.32,22.84,50.78,72.88,61.18,87.57,29.72,100,68.36,39.8,64.25,96.24,71.17,40.98,100,100,85.95,6.78,74.02,94.18,72.73,95.15,56.2,64.15,38.89,51.06,-0.52,9.08,-8.37,11.49,-24.47,13.22,-26.43,0.12,20.69,-2.34,-13.4,0,0.09,0,11.49,0.24,0,26.44,0,0,-48.35,5.72,-50,-7.02,0,0,-22.7,0,1.43,0,-26.73,20.25,21.12,-4.11,-24.47
"CUB","Cuba","Latin America and Caribbean",0,0,0,9039.43,"Middle",11257979,56.48,74.37,48.82,83.33,22.76,52.85,47.2,77.97,19.26,93.22,26.73,87.88,57.8,50.11,83.33,55.93,100,55.59,100,29.32,76.2,55.92,2.58,100,100,79.65,13.01,82.07,37.18,63.64,3.79,26.45,12.07,40.45,22.76,0.86,0.4,1.24,-23.46,-38.62,30.29,5.37,18.23,28.57,-3.39,-4.11,0,7.11,31.07,-23.46,36.46,0,29.51,0,2.43,-26.55,42.23,15.83,-10.18,0,0,-19.16,6.91,12.27,0,-16.62,19.71,37.44,10.94,-38.62
"CYM","Cayman Islands","Latin America and Caribbean",0,1,0,44347.5,"Upper",56230,NA,NA,NA,NA,NA,NA,NA,100,NA,100,0,0,52.94,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,0,52.95,47.47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,1.68,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.68,0.1,0,NA,NA,NA,NA,NA
"CYP","Cyprus","Europe",0,0,0,25803.90345,"Upper",1103647,57.15,100,38.79,100,1.07,100,23.83,100,28.2,88.94,37.55,40.57,61,100,100,100,NA,100,22.22,NA,27.24,40,1.85,100,100,66.83,41.03,55.45,100,77.27,0.08,20.08,36.33,34.07,1.07,-0.97,6.36,-6.97,12.71,-49.47,0,0.34,0,-5.1,-5.53,-9.41,12.17,0,0,12.71,0,NA,0,18.26,NA,-10.67,7.22,9.62,-16.59,0,0,0,0,0,0,0.68,-7.57,-2.63,-18.83,-49.47
"CZE","Czech Republic","Europe",1,0,0,22557.46347,"Upper",10525090,64.79,96.02,51.41,97.99,32.93,88.1,21.72,100,36.41,93.22,NA,50.79,84.12,76.2,97.99,100,100,100,28.45,NA,22.84,33.16,8.43,100,100,79.65,NA,NA,84.12,95.45,5.7,26.64,46.17,NA,32.93,9.67,13.4,6.62,15.31,-33.53,0,28.74,22.98,13.93,-3.39,NA,19.32,0,0,15.31,45.95,0,0,16.48,NA,33.75,39.45,9.82,-10.18,0,0,NA,NA,0,25,11.01,10.28,17.59,NA,-33.53
"DEU","Germany","Europe",0,0,0,33498.88408,"Upper",81702329,66.91,98.99,53.16,97.99,31.75,100,30.05,100,58.87,55.61,9.33,46.86,100,100,97.99,100,100,100,29.39,NA,27.63,46.98,10.2,100,0,66.83,14.06,100,100,81.82,16.03,45.04,72.7,4.6,31.75,6.34,9.04,4.12,7.31,-34.13,0,25.33,21.56,6.06,-22.2,2.17,35.58,0,0,7.31,0,43.12,0,34.62,NA,30.84,15.58,12.27,-16.59,-50,0,-12.38,0,0,37.5,48.27,6.67,5.45,16.73,-34.13
"DJI","Djibouti","Sub-Saharan Africa",0,1,0,2087.169671,"Lower",888716,NA,37.44,NA,25.39,45.3,33.69,NA,65.29,NA,100,29.5,84.85,5.79,17.52,25.39,30.58,100,49.86,100,NA,NA,NA,NA,100,100,NA,0,60.47,0,54.55,NA,NA,NA,59.01,45.3,NA,12.73,NA,17.97,-27.35,15.73,NA,-0.76,NA,0,-24.55,0,0,-12.44,17.97,-1.52,0,43.89,0,NA,NA,NA,NA,NA,0,0,-50,0,0,0,NA,NA,NA,0.9,-27.35
"DMA","Dominica","Latin America and Caribbean",0,0,0,8897.928041,"Middle",67757,NA,NA,NA,NA,66.04,46.57,NA,NA,NA,53.95,56.55,0,39.43,34.03,NA,NA,NA,59.11,NA,NA,NA,NA,NA,37.94,NA,85.95,71.31,38.25,80.06,0,NA,NA,NA,41.8,66.04,NA,NA,NA,NA,-16.98,0.97,NA,NA,NA,-23.03,-23.41,0,0,-6.92,NA,NA,NA,8.87,NA,NA,NA,NA,NA,-7.02,NA,-31.03,-50,0,0,0,NA,NA,NA,3.17,-16.98
"DNK","Denmark","Europe",0,0,0,32608.19903,"Upper",5544139,63.61,98.99,48.44,97.99,29.72,100,34.91,100,67.33,86.96,8.49,51.54,61.32,100,97.99,100,100,100,31.86,NA,30.48,51.03,14.89,100,100,60.89,16.98,84.13,30.06,90.91,27.64,53.77,80.9,0,29.72,6.67,5.82,7.37,11.64,-35.14,0,29.57,0,15.48,-6.52,-6.51,24.95,5.79,0,11.64,0,0,0,37.43,NA,41.37,15.38,14.69,-19.55,0,0,-13.02,6.14,5.3,0,50,18.52,12.44,0,-35.14
"DOM","Dominican Republic","Latin America and Caribbean",0,0,0,8386.921383,"Middle",9927320,52.44,58.47,49.86,64.74,22.61,37.79,56.07,66.6,40.82,93.22,40.17,45.55,52,37.37,64.74,33.2,100,38.2,20.6,0,86.66,65.26,9.37,100,100,79.65,34.83,82.42,0,95.45,9.97,40.92,40.71,45.51,22.61,2.55,5.01,0.53,6.17,-38.7,5.35,21.1,2.36,22.09,-3.39,4.68,-33.33,0,15.63,6.17,4.71,0,-4.93,-50,0,23.72,34.38,-4.75,-10.18,0,0,0,0,0,0,9.83,21.44,22.74,9.36,-38.7
"DZA","Algeria","Middle East and North Africa",0,0,0,7520.791452,"Middle",35468208,48.56,66.64,40.81,59.47,30.73,47.61,40.71,100,61.72,25.72,29.13,60.98,37.71,61.18,59.47,100,100,34.04,64.2,NA,72.54,41.11,5.43,31.61,0,45.56,34.65,51.27,37.12,54.55,0.8,59.54,63.89,23.61,30.73,5.93,23.14,-8.15,32.71,-34.64,2.82,-17.53,24.32,45.88,-37.14,-25.54,0,0.22,30.6,32.71,48.64,0,-24.97,0,NA,-50,-4.71,8.48,-27.22,-50,-34.19,-50,5.27,0,0,2.31,47.17,44.59,-1.07,-34.64
"ECU","Ecuador","Latin America and Caribbean",0,0,0,7324.997681,"Middle",14464739,60.55,72.14,55.59,67.28,35.73,53.99,52.65,100,47.16,20.07,28.04,54.96,93.91,52.39,67.28,100,100,55.59,43.81,80.66,81.11,36.76,20.38,4.97,NA,50.28,19.12,100,91.88,77.27,55.6,46.58,47.74,36.96,35.73,5.1,28.76,-14.26,20.68,-32.13,48.67,-19.3,25,12.69,-39.97,-31.15,-13.03,0.02,50,20.68,50,0,47.35,-29.96,0,-50,1.07,32.82,-24.86,NA,-47.52,-12.71,0,0.14,20.83,-47.33,9.2,16.17,-49.59,-32.13
"EGY","Egypt","Middle East and North Africa",0,0,0,5676.142928,"Middle",81121077,55.18,74.81,46.77,71.78,9.75,71.01,43.59,84.67,42.13,100,28.3,95.45,42.99,57.84,71.78,100,69.34,84.18,100,NA,80.71,36.07,8.03,100,100,100,24.22,85.57,34.71,86.36,10.07,45.2,39.06,32.39,9.75,16.31,41.31,-4.15,44.22,-45.13,50,-26.41,26.82,10.03,0,-11.53,45.83,15.94,50,44.22,38.35,15.28,50,50,NA,-50,-5.14,-14.41,0,0,0,-50,5.96,17.88,37.5,-33,8.74,11.31,26.95,-45.13
"ERI","Eritrea","Sub-Saharan Africa",0,1,1,489.6986491,"Lower",5253676,38.39,33.61,40.44,39.98,30,9.53,74.07,44.94,55.42,65.17,27.77,0,22.24,3.23,39.98,6.74,83.15,15.82,NA,NA,100,78.31,3.66,47.76,NA,100,25.4,0,29.35,0,0.68,73.89,36.95,30.14,30,9.6,16.29,4.13,29.25,-35,6.07,19.43,0.58,24.37,-17.41,0.56,0,0.83,2.53,29.25,1.14,0.02,9.62,NA,NA,0,44.55,6.17,0,NA,-26.12,0,0,1.09,0,1.58,27.62,21.12,1.11,-35
"ESH","Western Sahara","Middle East and North Africa",0,1,0,2422.75,"Middle",491519,NA,NA,NA,49.5,NA,NA,NA,86.67,NA,50,24.47,0,57.08,NA,49.5,NA,86.67,NA,NA,NA,NA,NA,NA,100,0,NA,21.55,79.88,33.29,0,NA,NA,NA,27.39,NA,NA,NA,NA,45.76,NA,NA,NA,4.03,NA,-25,20.25,0,0,NA,45.76,NA,4.03,NA,NA,NA,NA,NA,NA,NA,-50,0,10.02,0,0,0,NA,NA,NA,30.49,NA
"ESP","Spain","Europe",0,0,0,26934.4283,"Upper",46081574,60.31,98.99,43.73,97.99,5.73,100,39.52,100,33.77,84.67,18.99,20.79,74.19,100,97.99,100,100,100,31.18,100,41.99,53.19,16.11,100,100,54.01,26.01,74.24,50.41,0,25.28,21.56,45.98,11.97,5.73,8.94,14.77,4.17,18.05,-47.14,0,27.84,22.98,15,-7.67,4.54,17.24,0.22,0,18.05,45.95,0,0,25.86,0,34.12,16.83,37.68,-23,0,0,14.6,0.37,0.16,0,29.04,14.68,15.31,-5.53,-47.14
"EST","Estonia","Europe",0,0,0,16353.20847,"Upper",1339646,56.09,70.48,49.92,75.41,49.9,68.05,16.45,63.05,8.42,77.19,31.53,53.46,100,61.18,75.41,26.09,100,74.93,32.46,NA,21.18,22.03,2.73,45.63,100,85.95,15.57,100,100,95.45,6.16,2.5,14.34,47.49,49.9,-3.88,-8.46,-0.13,-16.83,-25.05,0,3.88,-0.18,5.42,-11.4,12.37,15.26,0,0,-16.83,-0.37,0,0,17.68,NA,-29.09,32.55,-6.13,-7.02,0,-27.19,-1.5,0,0,10.42,23.93,-5.04,15.88,26.23,-25.05
"ETH","Ethiopia","Sub-Saharan Africa",1,0,1,933.8377242,"Lower",82949541,52.71,22.68,65.57,22.33,37.74,4.1,81.3,41.96,68.54,47.15,NA,68.18,67.56,2.74,22.33,0.74,83.19,5.45,100,31.86,100,86.16,26.31,16.95,24.5,100,NA,NA,85.41,4.55,87.63,83.67,53.41,NA,37.74,4.44,18.15,-6.78,32.63,-31.13,6.26,-9.06,1.08,11.22,-26.42,NA,3.47,1.79,3.41,32.63,-0.14,2.31,9.12,0,0,0,-0.57,-50,0,-37.75,-41.52,NA,NA,2.69,10.42,-50,5.78,16.66,NA,-31.13
"FIN","Finland","Europe",0,0,0,31532.55286,"Upper",5363624,64.44,100,49.2,100,55.52,100,31.55,100,48.66,86.13,42.16,54.16,52.34,100,100,100,100,100,33.51,NA,23.37,45.07,20.54,100,100,58.38,27.87,89.13,49.29,95.45,30.1,34.91,62.4,56.44,55.52,6.35,0,11.54,0,-22.24,0,22.8,0,20.84,-6.94,25,48.39,1.9,0,0,0,0,0,47.59,NA,30.92,22.99,16.16,-20.81,0,0,0,2.26,1.87,50,10.06,21.07,20.62,50,-22.24
"FJI","Fiji","East Asia and the Pacific",0,0,0,4060.238134,"Middle",860623,NA,NA,NA,66.84,75.46,NA,NA,10.61,NA,84.67,43.19,70.45,28.91,NA,66.84,10.61,NA,NA,62.49,18.71,NA,NA,NA,100,NA,54.01,24.57,32.73,8,86.36,NA,NA,NA,61.81,75.46,NA,NA,NA,12.92,-12.27,NA,NA,0,NA,-7.67,7.87,0,0,NA,12.92,0,NA,NA,0,0,NA,NA,NA,-23,NA,0,-18.88,0,0,0,NA,NA,NA,34.61,-12.27
"FLK","Falkland Islands","Latin America and Caribbean",0,1,0,36904.5,"Upper",NA,NA,NA,NA,NA,85.95,NA,NA,NA,NA,NA,27.9,0,34.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.73,35.83,3.65,0,NA,NA,NA,22.06,85.95,NA,NA,NA,NA,-7.03,NA,NA,NA,NA,NA,26.12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.18,0,0,0,NA,NA,NA,25.05,-7.03
"FRA","France","Europe",0,0,0,29647.90748,"Upper",64876618.43,69,98.88,56.2,97.99,30.66,100,44.6,99.53,54.94,85.37,32.2,52.37,80.75,100,97.99,100,99.06,100,30.82,NA,46.2,60.16,36.21,100,100,56.1,41.99,81.61,76.88,95.45,12.99,41.5,68.37,22.41,30.66,11.02,11.37,10.73,10.24,-34.67,0,18.62,25,10.84,-7.32,0.38,22.4,31.05,0,10.24,0,50,0,33.6,NA,39.88,15.24,-4,-21.95,0,0,1.92,34.46,15.56,0,-0.48,11.78,9.91,-1.15,-34.67
"FRO","Faeroe Islands","Europe",0,1,0,31284.61,"Upper",48708,NA,NA,NA,NA,99.39,NA,NA,NA,NA,NA,17.49,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.99,0,0,0,NA,NA,NA,7.99,99.39,NA,NA,NA,NA,-0.31,NA,NA,NA,NA,NA,-13.81,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03,0,0,0,NA,NA,NA,-30.66,-0.31
"FSM","Micronesia","East Asia and the Pacific",0,1,0,2878.10066,"Middle",111064,NA,38.48,NA,55.52,NA,31.02,NA,11.86,NA,66.67,54.9,0,13.83,6.45,55.52,11.86,NA,55.59,NA,0,NA,NA,NA,100,0,100,9.8,18.44,18.47,0,NA,NA,NA,100,NA,NA,11.54,NA,18.26,NA,7.69,NA,1.96,NA,-16.67,4.91,0,0,0.92,18.26,1.96,NA,14.46,NA,0,NA,NA,NA,0,-50,0,9.82,0,0,0,NA,NA,NA,0,NA
"GAB","Gabon","Sub-Saharan Africa",0,0,0,13489.45097,"Middle",1505463,57.91,37.27,66.76,32.72,100,24.17,67.32,59.46,45.11,100,26.18,66.67,62.87,8.57,32.72,18.91,100,39.78,100,0,100,62.13,16.93,100,100,100,32.94,75.33,89.35,0,53.6,38.75,51.47,19.42,100,6.3,10.86,2.57,19.43,0,2.76,-36.22,1.83,50,0,-28.55,0,31.02,-3.12,19.43,3.14,0.52,8.64,0,0,-50,-16.1,-37.26,0,0,0,-50,28.06,50,0,-50,50,50,-7.09,0
"GBR","United Kingdom","Europe",0,0,0,32187.0471,"Upper",62218761,68.82,98.07,56.29,96.15,35.48,100,33.46,100,51.3,86.13,15.08,43.69,100,100,96.15,100,100,100,26.9,NA,34.72,53.34,10.82,100,100,58.38,11.71,100,100,77.27,6.78,36.99,65.6,18.44,35.48,11.01,2.17,18.25,4.33,-32.26,0,28.14,0,33.71,-6.94,-4.32,22.67,40.31,0,4.33,0,0,0,28.79,NA,50,22.14,-1.15,-20.81,0,0,-27.34,44.04,0,10.42,20.45,36.67,30.75,18.7,-32.26
"GEO","Georgia","Eastern Europe and Central Asia",0,0,0,4550.186015,"Middle",4452800,56.84,75.44,48.88,88.78,27.87,68.05,66.79,56.14,56.41,90.85,45.38,38.39,28.36,61.18,88.78,12.28,100,74.93,57.59,NA,97.22,45.67,25.25,72.56,100,100,0,57.77,21.35,0,86.61,60.16,52.66,90.76,27.87,4.88,14.73,-3.17,17.02,-36.06,25,-4.32,-0.14,5.73,-4.57,25,0,0,0,17.02,-0.27,0,50,0,NA,-18.98,6.04,-1.28,0,0,-13.72,0,0,0,0,2.65,-3.28,14.74,50,-36.06
"GHA","Ghana","Sub-Saharan Africa",0,0,0,1468.824497,"Lower",24391823,47.5,31.62,54.3,33.99,31.15,17.9,73.94,40.62,59.43,38.93,31.77,87.88,45.13,2.99,33.99,2.69,78.55,32.81,100,NA,100,69.64,20.33,1.76,15.02,100,40.32,8.29,78.06,63.64,76.77,71.7,47.17,23.23,31.15,9.45,26.16,-4.22,38.86,-34.43,16.2,-14.83,10.71,24.13,-30.54,6.45,33.33,0,3.45,38.86,1.42,20.01,28.94,50,NA,0,0.48,-50,0,-42.49,-49.12,33.48,0,0,0,-50,21.81,26.45,-20.58,-34.43
"GIB","Gibraltar","Europe",0,1,0,42363.6,"Upper",29244,NA,NA,NA,NA,NA,NA,12.75,NA,33.41,100,NA,0,2.7,NA,NA,NA,NA,NA,NA,NA,4.6,31.12,1.66,NA,NA,100,NA,0,30.12,0,0,18.31,48.52,NA,NA,NA,NA,NA,NA,NA,NA,-21.99,NA,-0.04,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,-50,-10.79,-4.77,0,NA,NA,NA,0,0,0,0,-6.25,6.17,NA,NA
"GIN","Guinea","Sub-Saharan Africa",0,0,0,978.3713423,"Lower",9981590,NA,22.13,NA,13.9,69.65,13.45,NA,47.25,NA,65,16.97,40.91,46.42,4.52,13.9,0.29,94.21,22.38,NA,99.61,NA,NA,NA,33.17,61.85,100,15.57,0,39.94,40.91,NA,NA,NA,18.36,69.65,NA,15.55,NA,22.32,-15.17,10.06,NA,7.5,NA,-17.5,-5.01,0,0,3.69,22.32,0.15,14.86,16.42,NA,0.01,NA,NA,NA,0,-19.08,-33.42,-12.25,0,0,0,NA,NA,NA,2.23,-15.17
"GLP","Guadeloupe","Latin America and Caribbean",0,0,0,8103.82,"Middle",NA,NA,NA,NA,97.99,47.95,74.93,NA,NA,NA,98.13,79.27,0,55.04,NA,97.99,NA,NA,74.93,NA,53.01,NA,NA,NA,100,NA,94.4,100,55.26,77.65,0,NA,NA,NA,58.54,47.95,NA,NA,NA,33.55,-26.02,0,NA,NA,NA,-0.93,25,0,0.34,NA,33.55,NA,NA,0,NA,0,NA,NA,NA,-2.8,NA,0,50,0.42,1.77,0,NA,NA,NA,0,-26.02
"GMB","Gambia","Sub-Saharan Africa",0,0,0,1265.182901,"Lower",1728394,NA,23.15,NA,27.54,51.37,36.72,NA,0.79,NA,100,24.79,93.94,22.29,23.59,27.54,0.79,NA,49.86,100,NA,NA,NA,NA,100,100,100,38.92,29.5,8.76,81.82,NA,NA,NA,10.67,51.37,NA,22.62,NA,33,-24.32,24.62,NA,-0.16,NA,0,-12.61,0,1.3,8.64,33,-0.16,NA,40.6,0,NA,NA,NA,NA,0,0,0,-10.72,1.99,0,0,NA,NA,NA,-14.49,-24.32
"GNB","Guinea-Bissau","Sub-Saharan Africa",0,0,0,1064.110057,"Lower",1515224,NA,18.09,NA,6.03,69.97,10.15,NA,50.15,NA,78.52,20.8,66.67,96,5.05,6.03,0.29,100,15.25,100,NA,NA,NA,NA,35.55,100,100,9.38,98.4,89.88,0,NA,NA,NA,32.22,69.97,NA,6.91,NA,11.29,-15.02,5.02,NA,0.04,NA,-10.74,3.12,0,0,2.75,11.29,0.08,0,7.28,0,NA,NA,NA,NA,0,0,-32.23,9.43,0,0,0,NA,NA,NA,-3.19,-15.02
"GNQ","Equatorial Guinea","Sub-Saharan Africa",0,0,0,31156.04196,"Upper",700401,NA,32.25,NA,10.79,95.07,11.29,NA,96.14,NA,73.8,41.78,0,59.65,15.23,10.79,NA,96.14,7.34,NA,NA,NA,NA,NA,26.99,100,94.4,4.65,55.95,100,0,NA,NA,NA,78.91,95.07,NA,7.31,NA,13.2,-2.46,0,NA,2.85,NA,-13.1,5.69,0,0,0,13.2,NA,2.85,0,NA,NA,NA,NA,NA,-2.8,0,-36.5,-3.77,0,0,0,NA,NA,NA,15.14,-2.46
"GRC","Greece","Europe",0,0,0,24990.03579,"Upper",11319048,60.04,96.02,44.63,97.99,7.89,88.1,30.07,100,23.46,85.37,31.87,42.08,79.65,76.2,97.99,100,100,100,22.22,NA,32.58,46.56,2.44,100,100,56.1,45.45,73.98,95.76,81.82,13.4,12.86,34.07,18.3,7.89,3.27,6.29,0.81,2.61,-46.05,19.94,13.95,0,0.36,-7.32,-11.29,12.17,14.26,0,2.61,0,0,39.88,18.26,NA,-0.64,23.12,15.04,-21.95,0,0,0,1.69,50,0,25.52,-4.32,5.04,-22.57,-46.05
"GRD","Grenada","Latin America and Caribbean",0,0,0,7345.222936,"Middle",104487,NA,NA,NA,80.63,57.3,65.89,NA,NA,NA,82.87,37.15,0,24.57,76.2,80.63,NA,NA,55.59,NA,NA,NA,NA,NA,100,NA,48.61,12.6,24.77,11.18,0,NA,NA,NA,61.71,57.3,NA,NA,NA,20.69,-21.35,12.35,NA,NA,NA,-8.57,-6.7,0,0,24.7,20.69,NA,NA,0,NA,NA,NA,NA,NA,-25.7,NA,0,-1.49,0,0,0,NA,NA,NA,-11.92,-21.35
"GRL","Greenland","North America",0,1,0,34707.85,"Upper",56534,NA,NA,NA,NA,100,NA,NA,100,NA,NA,20.98,66.67,96.29,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,29.8,92.27,100,0,NA,NA,NA,12.17,100,NA,NA,NA,NA,0,NA,NA,0,NA,NA,-6.78,0,0.03,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,-1.88,0.06,0,0,NA,NA,NA,-11.68,0
"GTM","Guatemala","Latin America and Caribbean",0,0,0,4283.696276,"Middle",14388929,51.88,51.24,52.15,53.08,60.71,45.34,65.28,53.46,48.98,27.03,24.14,34.96,59.76,35.09,53.08,6.91,100,55.59,52.44,5.88,100,56.6,12.49,10.59,24.93,45.56,14.23,75.36,80.12,0,57.33,52.36,45.6,34.06,60.71,8.73,14.76,3.79,15.35,-19.64,28.79,9.63,-0.44,10.63,-36.49,4.05,0,20.86,23.08,15.35,-0.89,0,34.51,0,2.81,0,-7.71,32.16,-27.22,-37.54,-44.71,0,50,3.49,0,50,10.98,10.28,8.11,-19.64
"GUF","French Guiana","Latin America and Caribbean",0,0,0,8514.14,"Middle",NA,NA,73.74,NA,80.63,69,33.7,NA,100,NA,96.33,64.44,0,80.25,32.06,80.63,NA,100,35.34,NA,NA,NA,NA,NA,88.99,100,100,100,67.22,100,0,NA,NA,NA,28.88,69,NA,6.67,NA,13.35,-15.5,0,NA,0,NA,-1.84,25.96,0,20.29,0,13.35,NA,0,0,NA,NA,NA,NA,NA,0,0,-5.51,50,0.69,50,0,NA,NA,NA,1.92,-15.5
"GUM","Guam","East Asia and the Pacific",0,1,0,15000,"Upper",179896,NA,NA,NA,87.57,NA,92.49,NA,NA,NA,100,45.3,0,87.67,84.98,87.57,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,36.13,75.34,100,0,NA,NA,NA,54.46,NA,NA,NA,NA,7.23,NA,3.4,NA,NA,NA,0,-13.9,0,0,6.79,7.23,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,22.2,0,0,0,NA,NA,NA,-50,NA
"GUY","Guyana","Latin America and Caribbean",0,0,0,2794.161562,"Middle",754493,NA,52.37,NA,49.11,64.01,45.34,NA,65.92,NA,100,28.72,66.67,16.78,35.09,49.11,31.83,100,55.59,100,12.01,NA,NA,NA,100,NA,100,38.92,0,29.35,0,NA,NA,NA,18.51,64.01,NA,22.58,NA,33.91,-17.99,20.95,NA,1.56,NA,0,2.25,0,6.89,7.4,33.91,3.13,0,34.51,0,26.91,NA,NA,NA,0,NA,0,-1.04,0,0.34,0,NA,NA,NA,5.55,-17.99
"HKG","Hong Kong","East Asia and the Pacific",0,0,0,41714.04004,"Upper",7067800,NA,NA,NA,100,14.35,NA,36.1,NA,32.38,NA,7.47,0,100,NA,100,NA,NA,NA,NA,NA,40.04,62.52,1.38,NA,NA,NA,14.93,NA,100,0,0,17.92,46.84,0,14.35,NA,NA,NA,23.72,-42.83,NA,-0.98,NA,-11.14,NA,-7.73,0,0,NA,23.72,NA,NA,NA,NA,NA,-21.81,21.5,-5.81,NA,NA,NA,-15.46,NA,0,0,0,-18.48,-3.81,0,-42.83
"HND","Honduras","Latin America and Caribbean",0,0,0,3515.755575,"Middle",7600524,52.54,46.14,55.29,49.11,57.44,32.25,63.95,54.06,42.6,60.54,29,36.84,65.06,26.3,49.11,8.13,100,38.2,55.26,40.03,100,58.22,12.05,1.99,100,79.65,17.67,67.83,82.24,0,45.07,48.37,36.83,40.33,57.44,2.87,12.24,-4.79,12.68,-21.28,23.46,-9.72,0.13,-4.51,-19.73,12.03,0,6.03,25.83,12.68,0.26,0,21.1,0,0,0,-2.71,-17.88,-10.18,0,-49.01,3.68,13.11,0,0,-40.57,-8.77,-0.25,20.37,-21.28
"HRV","Croatia","Eastern Europe and Central Asia",0,0,0,16121.2627,"Upper",4424161.464,64.16,83.86,55.71,92.89,45.74,84.58,46.26,65.1,39.62,95.32,24.92,58.06,74.49,84.98,92.89,30.19,100,84.18,39.36,NA,53.75,48.87,15.28,100,100,85.95,38.92,84.05,70.76,95.45,53.66,32.14,47.09,10.91,45.74,4.09,1.89,5.9,0,-27.13,0,-5.65,7.58,8.28,-2.34,28.69,0,29.88,0,0,-0.41,15.56,0,0,NA,-31.66,18.62,2.59,-7.02,0,0,50,16.19,35.21,0,-9.84,3.57,12.98,7.38,-27.13
